Local time in Wurzburg,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
19.01.2019 17:00,-0.7,737.0,762.4,,66,Wind blowing from the east,3,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,40.0,-6.3,,,,,,
19.01.2019 16:00,-0.2,737.2,762.6,,63,Wind blowing from the east,4,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,50.0,-6.5,,,,,,
19.01.2019 15:00,1.4,737.8,763.0,,57,Wind blowing from the east,3,,,"90  or more, but not 100%", ,,,,,,,"2500 or more, or no clouds.",,,60.0,-6.3,,,,,,
19.01.2019 14:00,0.8,738.2,763.6,,61,Wind blowing from the east,4,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,60.0,-5.9,,,,,,
19.01.2019 13:00,-0.1,738.9,764.3,,66,Wind blowing from the east,3,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,40.0,-5.7,No precipitation,6,,,,
19.01.2019 12:00,-0.4,739.5,765.0,,68,Wind blowing from the east,3,,,no clouds, ,,,,,,,,,,45.0,-5.6,,,,,,
19.01.2019 11:00,-2.1,739.8,765.4,,74,Wind blowing from the east,2,,,no clouds, ,,,,,,,,,,29.0,-6.1,,,,,,
19.01.2019 10:00,-2.9,739.9,765.6,,82,Wind blowing from the east-southeast,1,,,20–30%., ,,,-6.1,,,,"2500 or more, or no clouds.",,,20.0,-5.6,,,,,,
19.01.2019 09:00,-4.9,739.9,765.9,,85,Wind blowing from the east-northeast,1,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,17.0,-7.1,,,,,,
19.01.2019 08:00,-6.0,739.9,766.0,,91,Wind blowing from the north-northeast,1,,,60%., ,,,,,,,"2500 or more, or no clouds.",,,18.0,-7.3,,,,,,
19.01.2019 07:00,-5.7,739.8,765.8,,90,Wind blowing from the north,1,,,"90  or more, but not 100%", ,,,-5.8,-0.6,,,"2500 or more, or no clouds.",,,17.0,-7.1,No precipitation,12,,,,
19.01.2019 06:00,-5.5,739.9,765.9,,90,Wind blowing from the north-east,2,,,no clouds, ,,,,,,,,,,20.0,-6.9,,,,,,
19.01.2019 05:00,-5.0,740.2,766.1,,89,Wind blowing from the north-northeast,2,,,40%., ,,,,,,,"2500 or more, or no clouds.",,,20.0,-6.5,,,,,,
19.01.2019 04:00,-4.5,740.2,766.1,,91,Wind blowing from the north-east,2,,,no clouds, ,,,,,,,,,,14.0,-5.8,,,,,,
19.01.2019 03:00,-4.1,740.5,766.3,,91,Wind blowing from the north-northeast,2,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,11.0,-5.3,,,,,,
19.01.2019 02:00,-3.7,740.6,766.4,,90,Wind blowing from the north-northeast,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,13.0,-5.1,,,,,,
19.01.2019 01:00,-3.5,740.5,766.3,,89,Wind blowing from the north-east,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,-5.1,No precipitation,6,,,,
19.01.2019 00:00,-2.8,740.9,766.6,,87,Wind blowing from the north-east,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,-4.7,,,,,,
18.01.2019 23:00,-2.5,740.9,766.6,,86,Wind blowing from the north-northeast,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,18.0,-4.6,,,,,,
18.01.2019 22:00,-2.0,741.0,766.6,,86,Wind blowing from the north-northeast,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,13.0,-4.1,,,,,,
18.01.2019 21:00,-1.8,741.1,766.7,,84,"Calm, no wind",0,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,22.0,-4.2,,,,,,
18.01.2019 20:00,-1.1,741.2,766.8,,81,Wind blowing from the north,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,20.0,-4.0,,,,,,
18.01.2019 19:00,-0.7,741.1,766.6,,76,Wind blowing from the south,1,,,100%., ,,,-0.7,3.9,,,"2500 or more, or no clouds.",,,35.0,-4.4,Trace of precipitation,12,,,,
18.01.2019 18:00,0.1,741.1,766.6,,72,Wind blowing from the south-east,1,,,100%., ,,,,,,,1000-1500,,,50.0,-4.5,,,,,,
18.01.2019 17:00,1.2,741.1,766.5,,67,Wind blowing from the south-east,2,,,100%., ,,,,,,,1000-1500,,,65.0,-4.4,,,,,,
18.01.2019 16:00,2.7,740.9,766.1,,59,Wind blowing from the east-southeast,2,,,100%., ,,,,,,,1000-1500,,,70.0,-4.6,,,,,,
18.01.2019 15:00,3.7,740.8,765.9,,55,Wind blowing from the west-southwest,2,,,40%., ,,,,,,,1000-1500,,,65.0,-4.5,,,,,,
18.01.2019 14:00,2.8,740.6,765.8,,60,Wind blowing from the west-northwest,4,,,"90  or more, but not 100%", ,,,,,,,600-1000,,,40.0,-4.3,,,,,,
18.01.2019 13:00,3.0,740.8,766.0,,61,Wind blowing from the west-northwest,3,,,50%., ,Snow or ice pellets.,,,,,,600-1000,,,60.0,-3.8,Trace of precipitation,6,,,,
18.01.2019 12:00,2.2,741.0,766.3,,65,Wind blowing from the north,1,,,40%., ,,,,,,,600-1000,,,55.0,-3.8,,,,,,
18.01.2019 11:00,1.6,740.8,766.2,,74,Wind blowing from the north-northwest,2,,,40%., ,,,,,,,"2500 or more, or no clouds.",,,40.0,-2.5,,,,,,
18.01.2019 10:00,0.5,740.3,765.7,,82,Wind blowing from the north-northwest,2,,,60%., ,Snow or ice pellets.,,-0.6,,,,300-600,,,28.0,-2.3,,,,,,
18.01.2019 09:00,-0.5,739.7,765.2,,87,Wind blowing from the north-west,2,,,"10%  or less, but not 0",Drizzle (not freezing) or snow grains. ,Snow or ice pellets.,,,,,,600-1000,,,28.0,-2.5,,,,,,
18.01.2019 08:00,-0.2,739.0,764.4,,88,Wind blowing from the north-northwest,2,,,50%.,Snow ,Snow or ice pellets.,,,,,,300-600,,,24.0,-2.0,,,,,,
18.01.2019 07:00,0.0,738.3,763.6,,88,Wind blowing from the west-northwest,5,,,"90  or more, but not 100%","Snow, slight. ",Snow or ice pellets.,Drizzle.,0.0,2.6,,,600-1000,,,8.0,-1.8,0.6,12,,,,
18.01.2019 06:00,0.5,737.5,762.7,,80,Wind blowing from the west-northwest,5,,,100%.,Snow ,Snow or ice pellets.,,,,,,1000-1500,,,45.0,-2.6,,,,,,
18.01.2019 05:00,0.1,736.9,762.2,,82,Wind blowing from the west-northwest,4,,,70 – 80%., ,,,,,,,1000-1500,,,35.0,-2.7,,,,,,
18.01.2019 04:00,0.6,736.4,761.7,,78,Wind blowing from the north-west,5,,,40%., ,Snow or ice pellets.,Drizzle.,,,,,1000-1500,,,50.0,-2.9,,,,,,
18.01.2019 03:00,1.0,735.8,761.0,,78,Wind blowing from the north-west,5,,,100%.,Snow ,Snow or ice pellets.,Precipitation,,,,,1000-1500,,,55.0,-2.4,,,,,,
18.01.2019 02:00,1.3,735.1,760.3,,77,Wind blowing from the west-northwest,7,,,100%.,Snow ,Snow or ice pellets.,Drizzle.,,,,,600-1000,,,55.0,-2.4,,,,,,
18.01.2019 01:00,1.0,734.8,760.0,,78,Wind blowing from the west-northwest,5,,,40%., ,Snow or ice pellets.,Rain.,,,,,1000-1500,,,60.0,-2.5,0.6,6,,,,
18.01.2019 00:00,1.0,734.3,759.4,,81,Wind blowing from the west,5,,,no clouds, ,,,,,,,,,,70.0,-2.0,,,,,,
17.01.2019 23:00,1.1,733.9,759.1,,82,Wind blowing from the west-northwest,5,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,70.0,-1.7,,,,,,
17.01.2019 22:00,1.4,733.4,758.5,,86,Wind blowing from the west-northwest,6,,,"90  or more, but not 100%", ,Snow or ice pellets.,Rain.,,,,,600-1000,,,50.0,-0.7,,,,,,
17.01.2019 21:00,1.4,732.7,757.8,,89,Wind blowing from the west-northwest,7,,,"90  or more, but not 100%",Snow ,Snow or ice pellets.,Rain.,,,,,300-600,,,65.0,-0.3,,,,,,
17.01.2019 20:00,2.6,731.9,756.8,,84,Wind blowing from the west-northwest,5,,,70 – 80%.,"Rain, not freezing, slight. ",Rain.,,,,,,600-1000,,,70.0,0.1,,,,,,
17.01.2019 19:00,1.8,731.3,756.3,,88,Wind blowing from the west-northwest,6,,,60%.,Snow ,Snow or ice pellets.,Rain.,1.2,6.9,,,300-600,,,70.0,0.0,5,12,,,,
17.01.2019 18:00,4.5,729.9,754.6,,79,Wind blowing from the west,9,,,60%.,"Drizzle, not freezing, slight. ",Rain.,Drizzle.,,,,,600-1000,,,45.0,1.1,,,,,,
17.01.2019 17:00,4.7,729.4,754.0,,80,Wind blowing from the west,10,,,20–30%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,2000-2500,,,70.0,1.5,,,,,,
17.01.2019 16:00,4.5,729.4,754.0,,85,Wind blowing from the west-northwest,10,,,70 – 80%.,"Rain, not freezing, slight. ",Rain.,Drizzle.,,,,,600-1000,,,5.0,2.2,,,,,,
17.01.2019 15:00,6.4,729.1,753.5,,76,Wind blowing from the west,9,,,"90  or more, but not 100%",Rain (not freezing). ,Rain.,Drizzle.,,,,,600-1000,,,70.0,2.5,,,,,,
17.01.2019 14:00,6.5,729.3,753.7,,76,Wind blowing from the west,6,,,"90  or more, but not 100%","Drizzle, not freezing, slight. ",Rain.,Drizzle.,,,,,600-1000,,,70.0,2.6,,,,,,
17.01.2019 13:00,6.2,729.5,754.0,,86,Wind blowing from the west,7,,,"90  or more, but not 100%","Drizzle, not freezing, slight. ",Rain.,Drizzle.,,,,,300-600,,,55.0,4.0,3,6,,,,
17.01.2019 12:00,5.6,729.7,754.2,,91,Wind blowing from the west,6,,,100%.,"Rain, not freezing, moderate. ",Rain.,Drizzle.,,,,,300-600,,,5.0,4.3,,,,,,
17.01.2019 11:00,5.6,729.7,754.3,,88,Wind blowing from the west,6,,,100%.,"Rain, not freezing, slight. ",Rain.,Rain.,,,,,300-600,,,35.0,3.8,,,,,,
17.01.2019 10:00,5.3,729.7,754.3,,89,Wind blowing from the west,6,,,100%.,"Rain, not freezing, slight. ",Rain.,Precipitation,1.2,,,,300-600,,,20.0,3.6,,,,,,
17.01.2019 09:00,5.2,729.6,754.2,,88,Wind blowing from the west,8,,,"90  or more, but not 100%","Rain, not freezing, slight. ",Rain.,Rain.,,,,,300-600,,,18.0,3.3,,,,,,
17.01.2019 08:00,4.9,729.6,754.2,,88,Wind blowing from the west,8,,,"90  or more, but not 100%","Rain, not freezing, slight. ",Rain.,Precipitation,,,,,1000-1500,,,6.0,3.1,,,,,,
17.01.2019 07:00,5.5,729.8,754.4,,78,Wind blowing from the west,10,,,"90  or more, but not 100%","Drizzle and rain, slight. ",Rain.,Drizzle.,1.2,5.9,,,600-1000,,,9.0,2.0,Trace of precipitation,12,,,,
17.01.2019 06:00,5.7,730.0,754.5,,74,Wind blowing from the west,8,,,100%.,"Rain, not freezing, slight. ",Rain.,,,,,,600-1000,,,40.0,1.4,,,,,,
17.01.2019 05:00,5.3,730.2,754.8,,74,Wind blowing from the west,8,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,600-1000,,,35.0,1.0,,,,,,
17.01.2019 04:00,5.2,730.6,755.2,,74,Wind blowing from the west,7,,,100%.,Drizzle (not freezing) or snow grains. ,Drizzle.,,,,,,600-1000,,,29.0,0.8,,,,,,
17.01.2019 03:00,5.9,730.4,754.9,,70,Wind blowing from the west,8,,,100%., ,,,,,,,600-1000,,,29.0,0.7,,,,,,
17.01.2019 02:00,3.0,730.7,755.5,,77,Wind blowing from the south-west,4,,,100%., ,,,,,,,1000-1500,,,30.0,-0.6,,,,,,
17.01.2019 01:00,2.0,730.9,755.8,,79,Wind blowing from the south-west,3,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,30.0,-1.3,No precipitation,6,,,,
17.01.2019 00:00,2.0,731.2,756.2,,78,Wind blowing from the south-southwest,4,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,30.0,-1.4,,,,,,
16.01.2019 23:00,1.4,731.5,756.5,,82,Wind blowing from the south-west,3,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,29.0,-1.4,,,,,,
16.01.2019 22:00,1.7,731.9,756.9,,81,Wind blowing from the south,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,21.0,-1.2,,,,,,
16.01.2019 21:00,2.1,731.9,756.9,,80,Wind blowing from the south-southeast,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,22.0,-1.1,,,,,,
16.01.2019 20:00,2.3,732.3,757.3,,81,Wind blowing from the south-southwest,3,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,22.0,-0.7,,,,,,
16.01.2019 19:00,3.0,732.6,757.5,,78,Wind blowing from the south,3,,,100%., ,,,2.9,5.3,,,"2500 or more, or no clouds.",,,24.0,-0.5,No precipitation,12,,,,
16.01.2019 18:00,3.5,733.2,758.1,,75,Wind blowing from the south-west,4,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,30.0,-0.6,,,,,,
16.01.2019 17:00,4.1,733.6,758.5,,74,Wind blowing from the south-west,4,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,30.0,-0.1,,,,,,
16.01.2019 16:00,5.1,734.1,758.8,,69,Wind blowing from the west-southwest,3,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,40.0,-0.1,,,,,,
16.01.2019 15:00,5.1,734.5,759.2,,70,Wind blowing from the west-southwest,5,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,45.0,0.0,,,,,,
16.01.2019 14:00,4.8,735.3,760.1,,70,Wind blowing from the west,5,,,100%., ,,,,,,,600-1000,,,35.0,-0.2,,,,,,
16.01.2019 13:00,4.3,735.8,760.7,,71,Wind blowing from the west-southwest,5,,,100%., ,,,,,,,600-1000,,,40.0,-0.6,No precipitation,6,,,,
16.01.2019 12:00,4.1,736.6,761.6,,73,Wind blowing from the west,4,,,100%., ,,,,,,,600-1000,,,35.0,-0.4,,,,,,
16.01.2019 11:00,3.7,737.2,762.1,,75,Wind blowing from the west-southwest,4,,,100%., ,,,,,,,300-600,,,40.0,-0.4,,,,,,
16.01.2019 10:00,3.7,737.5,762.4,,73,Wind blowing from the west,5,,,100%., ,,,3.5,,,,600-1000,,,45.0,-0.7,,,,,,
16.01.2019 09:00,3.5,737.5,762.6,,75,Wind blowing from the west-southwest,6,,,100%., ,,,,,,,600-1000,,,35.0,-0.5,,,,,,
16.01.2019 08:00,3.7,737.4,762.4,,77,Wind blowing from the west,7,,,100%., ,,,,,,,600-1000,,,30.0,0.0,,,,,,
16.01.2019 07:00,3.6,737.7,762.7,,80,Wind blowing from the west-southwest,5,,,100%., ,Rain.,Drizzle.,3.5,4.8,,,600-1000,,,30.0,0.5,Trace of precipitation,12,,,,
16.01.2019 06:00,3.5,738.0,763.0,,82,Wind blowing from the west-southwest,5,,,100%., ,,,,,,,600-1000,,,30.0,0.7,,,,,,
16.01.2019 05:00,3.7,738.1,763.2,,82,Wind blowing from the west,6,,,"90  or more, but not 100%",Drizzle (not freezing) or snow grains. ,Drizzle.,,,,,,600-1000,,,35.0,0.9,,,,,,
16.01.2019 04:00,3.9,738.4,763.4,,83,Wind blowing from the west,5,,,100%.,Drizzle (not freezing) or snow grains. ,Rain.,Drizzle.,,,,,300-600,,,30.0,1.2,,,,,,
16.01.2019 03:00,4.0,738.9,763.9,,83,Wind blowing from the west,5,,,100%.,"Drizzle, not freezing, slight. ",Rain.,Drizzle.,,,,,300-600,,,29.0,1.4,,,,,,
16.01.2019 02:00,3.9,738.9,763.9,,86,Wind blowing from the west,4,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,300-600,,,30.0,1.7,,,,,,
16.01.2019 01:00,4.2,739.2,764.2,,83,Wind blowing from the west,6,,,100%.,"Drizzle, not freezing, slight. ",Rain.,Drizzle.,,,,,600-1000,,,17.0,1.5,Trace of precipitation,6,,,,
16.01.2019 00:00,3.9,739.5,764.5,,85,Wind blowing from the west,4,,,"90  or more, but not 100%",Rain (not freezing). ,Rain.,Drizzle.,,,,,300-600,,,30.0,1.6,,,,,,
15.01.2019 23:00,4.3,739.6,764.7,,82,Wind blowing from the west,7,,,100%.,"Drizzle, not freezing, slight. ",Rain.,Drizzle.,,,,,300-600,,,29.0,1.4,,,,,,
15.01.2019 22:00,4.3,739.7,764.8,,82,Wind blowing from the west,7,,,100%.,"Drizzle, not freezing, slight. ",Rain.,Drizzle.,,,,,300-600,,,30.0,1.5,,,,,,
15.01.2019 21:00,4.2,739.6,764.7,,82,Wind blowing from the west,6,,,"90  or more, but not 100%",Rain (not freezing). ,Rain.,Drizzle.,,,,,300-600,,,30.0,1.4,,,,,,
15.01.2019 20:00,4.7,739.6,764.6,,76,Wind blowing from the west,6,,,100%.,"Drizzle, not freezing, slight. ",Rain.,Drizzle.,,,,,300-600,,,35.0,0.8,,,,,,
15.01.2019 19:00,4.8,739.6,764.5,,75,Wind blowing from the west,8,,,100%.,Drizzle (not freezing) or snow grains. ,Rain.,Drizzle.,2.0,5.3,,,600-1000,,,40.0,0.6,Trace of precipitation,12,,,,
15.01.2019 18:00,4.6,739.6,764.5,,75,Wind blowing from the west,7,,,100%.,"Drizzle, not freezing, slight. ",Rain.,Drizzle.,,,,,600-1000,,,23.0,0.5,,,,,,
15.01.2019 17:00,4.9,739.6,764.5,,72,Wind blowing from the west,7,,,100%., ,,,,,,,600-1000,,,40.0,0.2,,,,,,
15.01.2019 16:00,5.0,739.6,764.6,,70,Wind blowing from the west,5,,,100%., ,,,,,,,600-1000,,,45.0,-0.1,,,,,,
15.01.2019 15:00,4.8,739.9,764.8,,71,Wind blowing from the west,6,,,100%., ,,,,,,,1000-1500,,,40.0,-0.1,,,,,,
15.01.2019 14:00,4.9,740.1,765.1,,72,Wind blowing from the west,7,,,100%., ,,,,,,,600-1000,,,35.0,0.3,,,,,,
15.01.2019 13:00,4.5,740.3,765.4,,70,Wind blowing from the west-northwest,8,,,100%., ,,,,,,,600-1000,,,55.0,-0.5,No precipitation,6,,,,
15.01.2019 12:00,5.3,740.5,765.4,,70,Wind blowing from the west,6,,,100%., ,,,,,,,1000-1500,,,50.0,0.2,,,,,,
15.01.2019 11:00,3.6,741.3,766.4,,76,Wind blowing from the west,6,,,100%., ,,,,,,,600-1000,,,45.0,-0.3,,,,,,
15.01.2019 10:00,2.8,741.0,766.2,,78,Wind blowing from the west,7,,,100%., ,,,1.8,,,,300-600,,,35.0,-0.7,,,,,,
15.01.2019 09:00,2.2,741.2,766.5,,76,Wind blowing from the west-northwest,4,,,100%., ,,,,,,,1000-1500,,,60.0,-1.6,,,,,,
15.01.2019 08:00,2.1,741.1,766.3,,75,Wind blowing from the west-northwest,5,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,60.0,-1.9,,,,,,
15.01.2019 07:00,2.1,741.1,766.3,,76,Wind blowing from the north-west,6,,,100%., ,Snow or ice pellets.,Rain.,1.8,3.6,,,"2500 or more, or no clouds.",,,55.0,-1.7,0.3,12,,,,
15.01.2019 06:00,2.1,741.1,766.4,,77,Wind blowing from the west-northwest,8,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,55.0,-1.5,,,,,,
15.01.2019 05:00,2.1,740.8,766.1,,77,Wind blowing from the west-northwest,8,,,100%.,Snow ,Snow or ice pellets.,Drizzle.,,,,,1000-1500,,,45.0,-1.5,,,,,,
15.01.2019 04:00,2.1,740.9,766.2,,76,Wind blowing from the north-west,6,,,100%.,Snow ,Snow or ice pellets.,Rain.,,,,,1000-1500,,,45.0,-1.8,,,,,,
15.01.2019 03:00,2.1,740.8,766.1,,77,Wind blowing from the west-northwest,7,,,100%.,Snow ,Snow or ice pellets.,Rain.,,,,,1000-1500,,,35.0,-1.6,,,,,,
15.01.2019 02:00,2.1,740.5,765.7,,76,Wind blowing from the west-northwest,7,,,100%., ,,,,,,,1000-1500,,,50.0,-1.8,,,,,,
15.01.2019 01:00,1.9,740.2,765.4,,78,Wind blowing from the west-northwest,6,,,100%., ,Snow or ice pellets.,Rain.,,,,,1500-2000,,,50.0,-1.6,0.3,6,,,,
15.01.2019 00:00,2.1,739.9,765.1,,75,Wind blowing from the west-northwest,5,,,100%.,Snow ,Snow or ice pellets.,Rain.,,,,,600-1000,,,50.0,-2.0,,,,,,
14.01.2019 23:00,2.0,739.5,764.7,,73,Wind blowing from the west-northwest,4,,,100%., ,,,,,,,1000-1500,,,55.0,-2.4,,,,,,
14.01.2019 22:00,2.2,739.1,764.3,,66,Wind blowing from the north-west,4,,,100%., ,Snow or ice pellets.,Drizzle.,,,,,1500-2000,,,55.0,-3.6,,,,,,
14.01.2019 21:00,2.4,738.7,763.9,,63,Wind blowing from the north-northwest,4,,,70 – 80%., ,,,,,,,1000-1500,,,70.0,-4.0,,,,,,
14.01.2019 20:00,2.8,738.0,763.1,,61,Wind blowing from the north-northwest,4,,,20–30%.,Snow ,Snow or ice pellets.,Drizzle.,,,,,1000-1500,,,70.0,-4.0,,,,,,
14.01.2019 19:00,3.1,737.4,762.4,,70,Wind blowing from the north-northwest,5,,,"90  or more, but not 100%","Ice pellets, moderate. ",Snow or ice pellets.,Rain.,3.1,6.3,,,600-1000,,,2.5,-1.9,0.1,12,,,,
14.01.2019 18:00,4.1,736.3,761.2,,59,Wind blowing from the north-northwest,5,,,100%., ,,,,,,,1000-1500,,,70.0,-3.3,,,,,,
14.01.2019 17:00,4.4,735.6,760.5,,58,Wind blowing from the north-west,6,,,"90  or more, but not 100%",Rain (not freezing). ,Rain.,Precipitation,,,,,1000-1500,,,70.0,-3.2,,,,,,
14.01.2019 16:00,5.0,734.8,759.6,,61,Wind blowing from the north-northwest,5,,,"90  or more, but not 100%","Precipitation, slight or moderate. ",Snow or ice pellets.,Rain.,,,,,1000-1500,,,55.0,-2.0,,,,,,
14.01.2019 15:00,5.5,734.2,758.9,,65,Wind blowing from the north-west,7,,,"90  or more, but not 100%", ,,,,,,,1000-1500,,,50.0,-0.6,,,,,,
14.01.2019 14:00,5.0,733.4,758.2,,70,Wind blowing from the north-west,5,,,100%., ,,,,,,,600-1000,,,70.0,0.0,,,,,,
14.01.2019 13:00,5.0,733.1,757.9,,79,Wind blowing from the west-northwest,6,,,"90  or more, but not 100%",Rain (not freezing). ,Rain.,Drizzle.,,,,,600-1000,,,70.0,1.6,0.1,6,,,,
14.01.2019 12:00,4.9,733.0,757.8,,82,Wind blowing from the north-west,4,,,100%.,"Rain, not freezing, slight. ",Rain.,Drizzle.,,,,,300-600,,,45.0,2.0,,,,,,
14.01.2019 11:00,4.7,732.8,757.6,,84,Wind blowing from the north-west,4,,,"90  or more, but not 100%","Rain, not freezing, slight. ",Rain.,,,,,,1500-2000,,,55.0,2.2,,,,,,
14.01.2019 10:00,4.3,732.5,757.3,,85,Wind blowing from the north-west,3,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,3.8,,,,1500-2000,,,65.0,2.0,,,,,,
14.01.2019 09:00,4.1,732.0,756.7,,83,Wind blowing from the north-west,4,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,1000-1500,,,70.0,1.4,,,,,,
14.01.2019 08:00,4.5,731.4,756.1,,86,Wind blowing from the north-west,4,,,100%., ,,,,,,,600-1000,,,60.0,2.3,,,,,,
14.01.2019 07:00,4.6,730.6,755.2,,87,Wind blowing from the north-west,5,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,4.5,8.0,,,600-1000,,,55.0,2.6,3,12,,,,
14.01.2019 06:00,4.9,730.0,754.6,,84,Wind blowing from the north-west,5,,,100%.,"Drizzle, not freezing, slight. ",Rain.,Drizzle.,,,,,600-1000,,,40.0,2.4,,,,,,
14.01.2019 05:00,5.7,729.4,753.9,,76,Wind blowing from the north-west,4,,,100%., ,,,,,,,600-1000,,,65.0,1.8,,,,,,
14.01.2019 04:00,5.9,728.6,753.1,,71,Wind blowing from the north-west,8,,,40%., ,,,,,,,600-1000,,,70.0,1.0,,,,,,
14.01.2019 03:00,5.8,727.7,752.2,,73,Wind blowing from the north-northwest,7,,,70 – 80%., ,,,,,,,600-1000,,,70.0,1.3,,,,,,
14.01.2019 02:00,5.6,727.0,751.4,,76,Wind blowing from the north-west,9,,,40%., ,,,,,,,600-1000,,,65.0,1.7,,,,,,
14.01.2019 01:00,5.7,726.6,751.0,,77,Wind blowing from the north-west,8,,,50%., ,Rain.,Drizzle.,,,,,600-1000,,,70.0,2.0,3,6,,,,
14.01.2019 00:00,6.3,726.7,751.1,,79,Wind blowing from the north-west,8,,,70 – 80%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,600-1000,,,70.0,2.8,,,,,,
13.01.2019 23:00,6.4,726.4,750.8,,83,Wind blowing from the north-northwest,8,,,100%.,"Rain, not freezing, slight. ",Rain.,Drizzle.,,,,,300-600,,,6.0,3.7,,,,,,
13.01.2019 22:00,7.8,725.7,749.9,,80,Wind blowing from the west-northwest,9,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,300-600,,,70.0,4.6,,,,,,
13.01.2019 21:00,7.6,725.9,750.1,,87,Wind blowing from the west-northwest,9,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,600-1000,,,70.0,5.5,,,,,,
13.01.2019 20:00,7.9,726.1,750.4,,90,Wind blowing from the west-northwest,9,,,100%.,"Rain, not freezing, moderate. ",Rain.,Drizzle.,,,,,200-300,,,2.2,6.4,,,,,,
13.01.2019 19:00,7.8,726.5,750.7,,91,Wind blowing from the west-northwest,9,,,100%.,"Drizzle, not freezing, slight. ",Rain.,Drizzle.,4.3,8.2,,,200-300,,,17.0,6.4,4,12,,,,
13.01.2019 18:00,7.9,727.0,751.2,,88,Wind blowing from the west-northwest,10,,,100%.,"Drizzle and rain, slight. ",Rain.,Drizzle.,,,,,300-600,,,14.0,6.0,,,,,,
13.01.2019 17:00,7.8,727.3,751.6,,89,Wind blowing from the west-northwest,11,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,300-600,,,50.0,6.0,,,,,,
13.01.2019 16:00,7.4,727.7,752.0,,91,Wind blowing from the west-northwest,10,,,"90  or more, but not 100%","Drizzle and rain, slight. ",Rain.,Drizzle.,,,,,300-600,,,3.8,6.0,,,,,,
13.01.2019 15:00,6.8,728.3,752.7,,93,Wind blowing from the west-northwest,7,,,100%.,"Rain, not freezing, moderate. ",Rain.,Drizzle.,,,,,200-300,,,8.0,5.7,,,,,,
13.01.2019 14:00,6.1,729.1,753.5,,92,Wind blowing from the west,8,,,100%.,"Drizzle, not freezing, slight. ",Rain.,Drizzle.,,,,,300-600,,,8.0,4.9,,,,,,
13.01.2019 13:00,5.5,730.0,754.6,,93,Wind blowing from the west-southwest,7,,,100%.,"Rain, not freezing, slight. ",Rain.,Drizzle.,,,,,300-600,,,12.0,4.4,3,6,,,,
13.01.2019 12:00,5.4,731.4,756.0,,92,Wind blowing from the west,7,,,100%.,"Rain, not freezing, slight. ",Rain.,Rain.,,,,,300-600,,,10.0,4.2,,,,,,
13.01.2019 11:00,5.4,732.2,756.9,,91,Wind blowing from the west,8,,,"90  or more, but not 100%","Rain, not freezing, slight. ",Rain.,Rain.,,,,,1000-1500,,,14.0,4.0,,,,,,
13.01.2019 10:00,5.1,733.0,757.6,,92,Wind blowing from the west,7,,,"90  or more, but not 100%","Rain, not freezing, slight. ",Rain.,Drizzle.,2.4,,,,600-1000,,,10.0,3.9,,,,,,
13.01.2019 09:00,5.3,733.4,758.1,,90,Wind blowing from the west,7,,,100%.,"Drizzle, not freezing, slight. ",Rain.,Drizzle.,,,,,300-600,,,20.0,3.7,,,,,,
